description,label,variable,distribution,lower,median,upper,unit
Establishment costs,Government implementation,intervention_costs_admin,posnorm,1371265500.00,,1782645150.00,Euro
,Industry compliance,intervention_costs_prod,posnorm,1353124040.00,,1791975080.00,Euro
,Costs for accompanying campaigns/public information,intervention_costs_info,posnorm,1000000.00,,5000000.00,Euro
Reduced incidences of,Diabetes type 2,red_diabetes_case,posnorm,155400.00,,218100.00,Case
,Obesity,red_obesity_case,posnorm,1604000.00,,2857700.00,Case
,Cancer,red_cancer_case,posnorm,16040.00,,28577.00,Case
health care costs per case,Diabetes type 2,cost_diabetes_euro,posnorm,4524.30,,4917.20,Euro
,Obesity,cost_obesity_euro,posnorm,95.19,,95.34,Euro
,Cancer,cost_cancer_euro,posnorm,95189.27,,95340.08,Euro
Total case,Diabetes type 2,total_diabetes_case,posnorm,6100000,,7000000,Case
,Obesity,total_obesity_case,posnorm,15000000,,17000000,Case
,Cancer,total_cancer_case,posnorm,500000,,550000,Case
Tax income for the government,Tax revenue,revenue_tax_euro,const,19200000.00,,19200000,Euro
Discount rate (%),Discount rate (%),discount_rate,posnorm,1.00,,5.00,%
Years from the start o the implementation of the intervention to the end.,Project time horizon (years),n_years,const,10,,10,
"Coefficient of variation, ratio of the standard deviation to the mean (a measure of relative variability).",coeff. Variation,var_CV,posnorm,5,,20,
,Maintenance cost ,maintenance_intervention_SSB_Tax,posnorm,270000000,,360000000,Euro
